Mobile: Precision Movement,Passive,"When you use the Dash action, difficult terrain doesn't cost you extra movement on that turn. When you make a melee attack against a creature, you don't provoke opportunity attacks from that creature for the rest of the turn, whether you hit or not."
Mounted Combatant,Passive,"You have advantage on melee attack rolls against any unmounted creature that is smaller than your mount. You can force an attack targeted at your mount to target you instead. If your mount is subjected to an effect that allows it to take a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails."
Observant: Lip Reading,Passive,"If you can see a creature's mouth while it is speaking a language you understand, you can interpret what it's saying by reading its lips."
Observant: Improved Passive Perception/Investigation,ModifyCharacter,"You have a +5 bonus to your passive Wisdom (Perception) and passive Intelligence (Investigation) scores."
Polearm Master: Pommel Strike,BonusAction,"When you take the Attack action and attack with only a glaive, halberd, or quarterstaff, you can use a bonus action to make a melee attack with the opposite end of the weapon. The weapon's damage die for this attack is a d4, and the attack deals bludgeoning damage."
Polearm Master: Pre-emptive Opportunity Attack,Reaction,"While you are wielding a glaive, halberd, pike, or quarterstaff, other creatures provoke an opportunity attack from you when they enter your reach."
Resilient,ModifyCharacter,"You gain proficiency in saving throws using the chosen ability."
Ritual Caster: Bonus Ritual Spells,Passive,"You have learned a number of spells that you can cast as rituals. These spells are written in a ritual book, which you must have in hand while casting one of them. When you choose this feat, you acquire a ritual book holding two 1st-level spells of your choice. Choose one of the following classes: bard, cleric, druid, sorcerer, warlock, or wizard. You must choose your spells from that class's spell list, and the spells you choose must have the ritual tag. The class you choose also determines your spellcasting ability for these spells: Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid; or Intelligence for wizard."
Ritual Caster: Transcribe Rituals,Passive,"If you come across a spell in written form, such as a magical spell scroll or a wizard's spellbook, you might be able to add it to your ritual book. The spell must be on the spell list for the class you chose, the spell's level can be no higher than half your level (rounded up), and it must have the ritual tag. The process of copying the spell into your ritual book takes 2 hours per level of the spell, and costs 50 gp per level. The cost represents material components you expend as you experiment with the spell to master it, as well as the fine inks you need to record it."
Savage Attacker,Passive,"Once per turn when you roll damage for a melee weapon attack, you can reroll the weapon's damage dice and use either total."
Sentinel: Enhanced Opportunity Attack,Passive,"When you hit a creature with an opportunity attack, the creature's speed becomes 0 for the rest of the turn. Creatures within 5 feet of you provoke opportunity attacks from you even if they take the Disengage action before leaving your reach."
Sentinel: Guardian,Reaction,"When a creature within 5 feet of you makes an attack against a target other than you (and that target doesn't have this feat), you can use your reaction to make a melee weapon attack against the attacking creature."
Sharpshooter: Precise Aim,Passive,"Attacking at long range doesn't impose disadvantage on your ranged weapon attack rolls. Your ranged weapon attacks ignore half cover and three-quarters cover."
Sharpshooter: Overdraw,Action,"Before you make an attack with a ranged weapon that you are proficient with, you can choose to take a - 5 penalty to the attack roll. If the attack hits, you add +10 to the attack's damage."
Shield Master: Shove,BonusAction,"If you take the Attack action on your turn, you can use a bonus action to try to shove a creature within 5 feet of you with your shield."
Shield Master: Improved Dexterity Saving Throws,Passive,"If you aren't incapacitated, you can add your shield's AC bonus to any Dexterity saving throw you make against a spell or other harmful effect that targets only you."
Shield Master: Nullify Damage,Passive,"If you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you can use your reaction to take no damage if you succeed on the saving throw, interposing your shield between yourself and the source of the effect."
Skilled: Bonus Proficiencies,ModifyCharacter,"You gain proficiency in any combination of three skills or tools of your choice."
Skulker,Passive,"You can try to hide when you are lightly obscured from the creature from which you are hiding. When you are hidden from a creature and miss it with a ranged weapon attack, making the attack doesn't reveal your position. Dim light doesn't impose disadvantage on your Wisdom (Perception) checks relying on sight."
Spell Sniper: Precise Aim,Passive,"When you cast a spell that requires you to make an attack roll, the spell's range is doubled. Your ranged spell attacks ignore half cover and three-quarters cover."
Spell Sniper: Bonus Cantrip,ModifyCharacter,"You learn one cantrip that requires an attack roll. Choose the cantrip from the bard, cleric, druid, sorcerer, warlock, or wizard spell list. Your spellcasting ability for this cantrip depends on the spell list you chose from: Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid; or Intelligence for wizard."
Tavern Brawler: Improved Unarmed Damage,Passive,"Your unarmed strike uses a d4 for damage."
Tavern Brawler: Quick Grapple,BonusAction,"When you hit a creature with an unarmed strike or an improvised weapon on your turn, you can use a bonus action to attempt to grapple the target."
Tough: Bonus Health,ModifyCharacter,"Your hit point maximum increases by an amount equal to twice your level when you gain this feat."
Tough: Healthy,Passive,"Whenever you gain a level thereafter, your hit point maximum increases by an additional 2 hit points"
War Caster: Battlemage,Passive,"You have advantage on Constitution saving throws that you make to maintain your concentration on a spell when you take damage. You can perform the somatic components of spells even when you have weapons or a shield in one or both hands."
War Caster: Opportunity Attack Spell,Reaction,"When a hostile creature's movement provokes an opportunity attack from you, you can use your reaction to cast a spell at the creature, rather than making an opportunity attack. The spell must have a casting time of 1 action and must target only that creature."
Weapon Master: Bonus Proficiencies,ModifyCharacter,"You gain proficiency with four weapons of your choice."
